Время от начала полета (секунды),Высота над уровнем моря (метры),Масса корабля (тонны),Тангаж / угол наклона (градусы),Орбитальная скорость (м/с),Скорость относительно поверхности (м/с),Общая скорость (м/с),Апогейное расстояние (метры)
221.71,109684.6,7737.88,13.9,1875.7,0.0,0.0,153284.4
221.82,109729.7,7737.88,13.9,1875.5,0.0,0.0,153284.4
221.92,109783.8,7737.88,13.9,1875.3,0.0,0.0,153284.4
222.02,109828.8,7737.88,13.9,1875.1,0.0,0.0,153284.4
222.13,109873.8,7737.88,13.9,1875.0,0.0,0.0,153284.4
222.24,109927.8,7737.88,13.9,1874.8,0.0,0.0,153284.4
222.34,109963.8,7737.88,13.9,1874.6,0.0,0.0,153284.4
222.44,110008.7,7737.88,13.9,1874.5,0.0,0.0,153284.4
222.55,110062.6,7737.88,13.9,1874.2,0.0,0.0,153284.4
222.66,110107.5,7737.88,13.9,1874.1,0.0,0.0,153284.4
222.76,110152.4,7737.88,13.9,1873.9,0.0,0.0,153284.4
222.87,110206.2,7737.88,13.9,1873.7,0.0,0.0,153284.4
222.97,110251.0,7737.88,13.9,1873.5,0.0,0.0,153284.4
223.08,110295.8,7737.88,13.9,1873.4,0.0,0.0,153284.4
223.18,110349.6,7737.88,13.8,1873.2,0.0,0.0,153284.4
223.28,110394.3,7737.88,13.8,1873.0,0.0,0.0,153284.4
223.39,110439.0,7737.88,13.8,1872.9,0.0,0.0,153284.4
223.50,110492.7,7737.88,13.8,1872.7,0.0,0.0,153284.4
223.60,110537.3,7737.88,13.8,1872.5,0.0,0.0,153284.4
223.71,110582.0,7737.88,13.8,1872.3,0.0,0.0,153284.4
223.82,110635.5,7737.88,13.8,1872.1,0.0,0.0,153284.4
223.92,110680.1,7737.88,13.8,1872.0,0.0,0.0,153284.4
224.03,110724.7,7737.88,13.8,1871.8,0.0,0.0,153284.4
224.14,110769.2,7737.88,13.8,1871.6,0.0,0.0,153284.4
224.24,110813.8,7737.88,13.8,1871.5,0.0,0.0,153284.4
224.35,110867.2,7737.88,13.8,1871.3,0.0,0.0,153284.4
224.46,110911.6,7737.88,13.8,1871.1,0.0,0.0,153284.4
224.57,110965.0,7737.88,13.8,1870.9,0.0,0.0,153284.4
224.67,111009.4,7737.88,13.8,1870.7,0.0,0.0,153284.4
224.77,111053.8,7737.88,13.7,1870.6,0.0,0.0,153284.4
224.87,111098.2,7737.88,13.7,1870.4,0.0,0.0,153284.4
224.98,111151.4,7737.88,13.7,1870.2,0.0,0.0,153284.4
225.09,111195.7,7737.88,13.7,1870.0,0.0,0.0,153284.4
225.19,111240.0,7737.88,13.7,1869.9,0.0,0.0,153284.4
225.29,111284.3,7737.88,13.7,1869.6,0.0,0.0,153284.4
225.40,111337.4,7737.88,13.7,1869.5,0.0,0.0,153284.4
225.50,111381.6,7737.88,13.7,1869.3,0.0,0.0,153284.4
225.61,111425.8,7737.88,13.7,1869.2,0.0,0.0,153284.4
225.72,111478.8,7737.88,13.7,1869.0,0.0,0.0,153284.4
225.83,111523.0,7737.88,13.7,1868.8,0.0,0.0,153284.4
225.93,111567.1,7737.88,13.7,1868.7,0.0,0.0,153284.4
226.04,111611.2,7737.88,13.7,1868.5,0.0,0.0,153284.4
226.15,111664.1,7737.88,13.7,1868.3,0.0,0.0,153284.4
226.25,111699.3,7737.88,13.7,1868.2,0.0,0.0,153284.4
226.35,111752.2,7737.88,13.7,1867.9,0.0,0.0,153284.4
226.46,111796.2,7737.88,13.6,1867.8,0.0,0.0,153284.4
226.57,111849.0,7737.88,13.6,1867.6,0.0,0.0,153284.4
226.67,111892.9,7737.88,13.6,1867.4,0.0,0.0,153284.4
226.78,111936.8,7737.88,13.6,1867.3,0.0,0.0,153284.4
226.88,111989.5,7737.88,13.6,1867.1,0.0,0.0,153284.4
226.99,112033.4,7737.88,13.6,1866.9,0.0,0.0,153284.4
227.09,112077.3,7737.88,13.6,1866.8,0.0,0.0,153284.4
227.19,112121.1,7737.88,13.6,1866.6,0.0,0.0,153284.4
227.30,112173.7,7737.88,13.6,1866.4,0.0,0.0,153284.4
227.40,112217.4,7737.88,13.6,1866.2,0.0,0.0,153284.4
227.50,112261.2,7737.88,13.6,1866.1,0.0,0.0,153284.4
227.61,112304.9,7737.88,13.6,1865.9,0.0,0.0,153284.4
227.72,112348.6,7737.88,13.6,1865.7,0.0,0.0,153284.4
227.82,112401.1,7737.88,13.6,1865.5,0.0,0.0,153284.4
227.92,112444.7,7737.88,13.6,1865.4,0.0,0.0,153284.4
228.02,112488.4,7737.88,13.5,1865.2,0.0,0.0,153284.4
228.13,112532.0,7737.88,13.5,1865.1,0.0,0.0,153284.4
228.23,112575.6,7737.88,13.5,1864.9,0.0,0.0,153284.4
228.34,112619.1,7737.88,13.5,1864.7,0.0,0.0,153284.4
228.44,112662.7,7737.88,13.5,1864.6,0.0,0.0,153284.4
228.55,112714.9,7737.88,13.5,1864.4,0.0,0.0,153284.4
228.65,112758.4,7737.88,13.5,1864.2,0.0,0.0,153284.4
228.75,112801.8,7737.88,13.5,1864.0,0.0,0.0,153284.4
228.86,112845.3,7737.88,13.5,1863.9,0.0,0.0,153284.4
228.96,112897.4,7737.88,13.5,1863.7,0.0,0.0,153284.4
229.07,112940.8,7737.88,13.5,1863.5,0.0,0.0,153284.4
229.18,112992.8,7737.88,13.5,1863.3,0.0,0.0,153284.4
229.29,113036.1,7737.88,13.5,1863.2,0.0,0.0,153284.4
229.39,113079.5,7737.88,13.5,1863.0,0.0,0.0,153284.4
229.49,113122.8,7737.88,13.5,1862.9,0.0,0.0,153284.4
229.60,113174.7,7737.88,13.4,1862.7,0.0,0.0,153284.4
229.71,113217.9,7737.88,13.4,1862.5,0.0,0.0,153284.4
229.81,113261.1,7737.88,13.4,1862.3,0.0,0.0,153284.4
229.91,113304.3,7737.88,13.4,1862.2,0.0,0.0,153284.4
230.02,113356.1,7737.88,13.4,1862.0,0.0,0.0,153284.4
230.12,113399.3,7737.88,13.4,1861.8,0.0,0.0,153284.4
230.22,113442.4,7737.88,13.4,1861.7,0.0,0.0,153284.4
230.32,113485.5,7737.88,13.4,1861.5,0.0,0.0,153284.4
230.43,113528.6,7737.88,13.4,1861.3,0.0,0.0,153284.4
230.54,113571.6,7737.88,13.4,1861.2,0.0,0.0,153284.4
230.64,113623.2,7737.88,13.4,1861.0,0.0,0.0,153284.4
230.74,113657.6,7737.88,13.4,1860.9,0.0,0.0,153284.4
230.85,113709.2,7737.88,13.4,1860.7,0.0,0.0,153284.4
230.96,113752.2,7737.88,13.4,1860.5,0.0,0.0,153284.4
231.07,113803.7,7737.88,13.4,1860.3,0.0,0.0,153284.4
231.17,113846.6,7737.88,13.4,1860.2,0.0,0.0,153284.4
231.27,113889.5,7737.88,13.3,1860.0,0.0,0.0,153284.4
231.38,113940.9,7737.88,13.3,1859.8,0.0,0.0,153284.4
231.49,113983.7,7737.88,13.3,1859.6,0.0,0.0,153284.4
231.59,114026.5,7737.88,13.3,1859.5,0.0,0.0,153284.4
231.69,114069.3,7737.88,13.3,1859.3,0.0,0.0,153284.4
231.80,114120.6,7737.88,13.3,1859.1,0.0,0.0,153284.4
231.91,114163.3,7737.88,13.3,1859.0,0.0,0.0,153284.4
232.02,114214.6,7737.88,13.3,1858.8,0.0,0.0,153284.4
232.12,114257.2,7737.88,13.3,1858.6,0.0,0.0,153284.4
232.22,114291.4,7737.88,13.3,1858.5,0.0,0.0,153284.4
232.32,114342.5,7737.88,13.3,1858.2,0.0,0.0,153284.4
232.43,114385.1,7737.88,13.3,1858.2,0.0,0.0,153284.4
232.53,114427.7,7737.88,13.3,1858.0,0.0,0.0,153284.4
232.64,114470.3,7737.88,13.3,1857.8,0.0,0.0,153284.4
232.75,114512.8,7737.88,13.3,1857.6,0.0,0.0,153284.4
232.86,114572.3,7737.88,13.2,1857.4,0.0,0.0,153284.4
232.96,114614.8,7737.88,13.2,1857.3,0.0,0.0,153284.4
233.07,114657.2,7737.88,13.2,1857.1,0.0,0.0,153284.4
233.17,114699.7,7737.88,13.2,1857.0,0.0,0.0,153284.4
233.27,114742.1,7737.88,13.2,1856.8,0.0,0.0,153284.4
233.37,114784.5,7737.88,13.2,1856.7,0.0,0.0,153284.4
233.48,114826.8,7737.88,13.2,1856.5,0.0,0.0,153284.4
233.59,114877.6,7737.88,13.2,1856.3,0.0,0.0,153284.4
233.69,114919.9,7737.88,13.2,1856.2,0.0,0.0,153284.4
233.80,114962.2,7737.88,13.2,1856.0,0.0,0.0,153284.4
233.91,115012.9,7737.88,13.2,1855.8,0.0,0.0,153284.4
234.01,115063.6,7737.88,13.2,1855.6,0.0,0.0,153284.4
234.12,115105.8,7737.88,13.2,1855.5,0.0,0.0,153284.4
234.22,115148.0,7737.88,13.2,1855.3,0.0,0.0,153284.4
234.32,115190.2,7737.88,13.2,1855.2,0.0,0.0,153284.4
234.43,115232.3,7737.88,13.1,1855.0,0.0,0.0,153284.4
234.53,115274.4,7737.88,13.1,1854.8,0.0,0.0,153284.4
234.63,115316.5,7737.88,13.1,1854.7,0.0,0.0,153284.4
234.74,115367.0,7737.88,13.1,1854.5,0.0,0.0,153284.4
234.85,115409.0,7737.88,13.1,1854.3,0.0,0.0,153284.4
234.95,115451.0,7737.88,13.1,1854.2,0.0,0.0,153284.4
235.06,115493.0,7737.88,13.1,1854.0,0.0,0.0,153284.4
235.16,115543.4,7737.88,13.1,1853.8,0.0,0.0,153284.4
235.27,115576.9,7737.88,13.1,1853.7,0.0,0.0,153284.4
235.37,115627.2,7737.88,13.1,1853.5,0.0,0.0,153284.4
235.48,115669.1,7737.88,13.1,1853.4,0.0,0.0,153284.4
235.58,115711.0,7737.88,13.1,1853.2,0.0,0.0,153284.4
235.68,115752.9,7737.88,13.1,1853.0,0.0,0.0,153284.4
235.78,115803.0,7737.88,13.1,1852.9,0.0,0.0,153284.4
235.89,115844.8,7737.88,13.1,1852.7,0.0,0.0,153284.4
235.99,115886.6,7737.88,13.0,1852.6,0.0,0.0,153284.4
236.10,115936.7,7737.88,13.0,1852.3,0.0,0.0,153284.4
236.21,115978.4,7737.88,13.0,1852.2,0.0,0.0,153284.4
236.31,116020.1,7737.88,13.0,1852.1,0.0,0.0,153284.4
236.41,116061.8,7737.88,13.0,1851.9,0.0,0.0,153284.4
236.52,116111.8,7737.88,13.0,1851.7,0.0,0.0,153284.4
236.63,116153.4,7737.88,13.0,1851.6,0.0,0.0,153284.4
236.73,116195.0,7737.88,13.0,1851.4,0.0,0.0,153284.4
236.84,116244.9,7737.88,13.0,1851.2,0.0,0.0,153284.4
236.94,116278.1,7737.88,13.0,1851.1,0.0,0.0,153284.4
237.05,116327.9,7737.88,13.0,1850.9,0.0,0.0,153284.4
237.16,116369.4,7737.88,13.0,1850.8,0.0,0.0,153284.4
237.26,116410.9,7737.88,13.0,1850.6,0.0,0.0,153284.4
237.36,116452.4,7737.88,13.0,1850.5,0.0,0.0,153284.4
237.46,116493.8,7737.88,13.0,1850.3,0.0,0.0,153284.4
237.56,116535.2,7737.88,12.9,1850.2,0.0,0.0,153284.4
237.67,116576.6,7737.88,12.9,1849.9,0.0,0.0,153284.4
237.77,116626.2,7737.88,12.9,1849.8,0.0,0.0,153284.4
237.88,116667.6,7737.88,12.9,1849.7,0.0,0.0,153284.4
237.98,116708.9,7737.88,12.9,1849.5,0.0,0.0,153284.4
238.09,116758.4,7737.88,12.9,1849.3,0.0,0.0,153284.4
238.20,116799.7,7737.88,12.9,1849.2,0.0,0.0,153284.4
238.30,116849.1,7737.88,12.9,1849.0,0.0,0.0,153284.4
238.41,116890.3,7737.88,12.9,1848.8,0.0,0.0,153284.4
238.52,116939.8,7737.88,12.9,1848.6,0.0,0.0,153284.4
238.63,116980.9,7737.88,12.9,1848.5,0.0,0.0,153284.4
238.74,117030.3,7737.88,12.9,1848.3,0.0,0.0,153284.4
238.84,117063.2,7737.88,12.9,1848.2,0.0,0.0,153284.4
238.95,117112.5,7737.88,12.9,1848.0,0.0,0.0,153284.4
239.06,117153.5,7737.88,12.9,1847.8,0.0,0.0,153284.4
239.16,117194.5,7737.88,12.8,1847.7,0.0,0.0,153284.4
239.26,117243.7,7737.88,12.8,1847.5,0.0,0.0,153284.4
239.37,117284.7,7737.88,12.8,1847.4,0.0,0.0,153284.4
239.47,117325.7,7737.88,12.8,1847.2,0.0,0.0,153284.4
239.58,117374.8,7737.88,12.8,1847.0,0.0,0.0,153284.4
239.68,117415.7,7737.88,12.8,1846.9,0.0,0.0,153284.4
239.79,117456.6,7737.88,12.8,1846.7,0.0,0.0,153284.4
239.90,117505.6,7737.88,12.8,1846.5,0.0,0.0,153284.4
240.01,117546.5,7737.88,12.8,1846.4,0.0,0.0,153284.4
240.11,117587.3,7737.88,12.8,1846.2,0.0,0.0,153284.4
240.21,117636.2,7737.88,12.8,1846.1,0.0,0.0,153284.4
240.32,117677.0,7737.88,12.8,1845.9,0.0,0.0,153284.4
240.43,117717.7,7737.88,12.8,1845.8,0.0,0.0,153284.4
240.54,117758.4,7737.88,12.8,1845.6,0.0,0.0,153284.4
240.64,117799.1,7737.88,12.8,1845.5,0.0,0.0,153284.4
240.74,117847.9,7737.88,12.7,1845.3,0.0,0.0,153284.4
240.85,117880.4,7737.88,12.7,1845.2,0.0,0.0,153284.4
240.95,117929.1,7737.88,12.7,1845.0,0.0,0.0,153284.4
241.06,117969.7,7737.88,12.7,1844.8,0.0,0.0,153284.4
241.17,118018.4,7737.88,12.7,1844.6,0.0,0.0,153284.4
241.27,118058.9,7737.88,12.7,1844.5,0.0,0.0,153284.4
241.37,118099.4,7737.88,12.7,1844.3,0.0,0.0,153284.4
241.48,118139.9,7737.88,12.7,1844.2,0.0,0.0,153284.4
241.58,118180.4,7737.88,12.7,1844.0,0.0,0.0,153284.4
241.69,118228.9,7737.88,12.7,1843.9,0.0,0.0,153284.4
241.79,118269.3,7737.88,12.7,1843.7,0.0,0.0,153284.4
241.89,118309.7,7737.88,12.7,1843.5,0.0,0.0,153284.4
242.00,118358.2,7737.88,12.7,1843.4,0.0,0.0,153284.4
242.11,118398.5,7737.88,12.7,1843.2,0.0,0.0,153284.4
242.21,118438.8,7737.88,12.7,1843.1,0.0,0.0,153284.4
242.32,118487.2,7737.88,12.6,1842.9,0.0,0.0,153284.4
242.42,118519.4,7737.88,12.6,1842.8,0.0,0.0,153284.4
242.53,118567.7,7737.88,12.6,1842.6,0.0,0.0,153284.4
242.63,118607.9,7737.88,12.6,1842.5,0.0,0.0,153284.4
242.73,118648.1,7737.88,12.6,1842.3,0.0,0.0,153284.4
242.84,118688.3,7737.88,12.6,1842.2,0.0,0.0,153284.4
242.94,118736.4,7737.88,12.6,1842.0,0.0,0.0,153284.4
243.04,118768.5,7737.88,12.6,1841.8,0.0,0.0,153284.4
243.14,118808.6,7737.88,12.6,1841.7,0.0,0.0,153284.4
243.24,118848.7,7737.88,12.6,1841.6,0.0,0.0,153284.4
243.35,118888.8,7737.88,12.6,1841.4,0.0,0.0,153284.4
243.46,118936.8,7737.88,12.6,1841.2,0.0,0.0,153284.4
243.56,118976.8,7737.88,12.6,1841.1,0.0,0.0,153284.4
243.67,119024.8,7737.88,12.6,1840.9,0.0,0.0,153284.4
243.77,119064.7,7737.88,12.6,1840.8,0.0,0.0,153284.4
243.87,119104.6,7737.88,12.5,1840.6,0.0,0.0,153284.4
243.97,119144.5,7737.88,12.5,1840.4,0.0,0.0,153284.4
244.08,119192.4,7737.88,12.5,1840.3,0.0,0.0,153284.4
244.19,119232.3,7737.88,12.5,1840.1,0.0,0.0,153284.4
244.29,119272.1,7737.88,12.5,1840.0,0.0,0.0,153284.4
244.39,119311.9,7737.88,12.5,1839.8,0.0,0.0,153284.4
244.49,119351.7,7737.88,12.5,1839.7,0.0,0.0,153284.4
244.60,119399.4,7737.88,12.5,1839.5,0.0,0.0,153284.4
244.71,119439.1,7737.88,12.5,1839.4,0.0,0.0,153284.4
244.81,119478.8,7737.88,12.5,1839.2,0.0,0.0,153284.4
244.91,119518.5,7737.88,12.5,1839.1,0.0,0.0,153284.4
245.02,119566.1,7737.88,12.5,1838.9,0.0,0.0,153284.4
245.13,119605.7,7737.88,12.5,1838.8,0.0,0.0,153284.4
245.23,119645.3,7737.88,12.5,1838.6,0.0,0.0,153284.4
245.33,119684.9,7737.88,12.5,1838.4,0.0,0.0,153284.4
245.44,119724.5,7737.88,12.4,1838.3,0.0,0.0,153284.4
245.54,119771.9,7737.88,12.4,1838.1,0.0,0.0,153284.4
245.65,119811.4,7737.88,12.4,1838.0,0.0,0.0,153284.4
245.75,119850.9,7737.88,12.4,1837.8,0.0,0.0,153284.4
245.86,119890.4,7737.88,12.4,1837.7,0.0,0.0,153284.4
245.96,119929.8,7737.88,12.4,1837.5,0.0,0.0,153284.4
246.06,119969.3,7737.88,12.4,1837.4,0.0,0.0,153284.4
246.16,120008.7,7737.88,12.4,1837.2,0.0,0.0,153284.4
246.26,120048.0,7737.88,12.4,1837.1,0.0,0.0,153284.4
246.37,120095.2,7737.88,12.4,1836.9,0.0,0.0,153284.4
246.48,120134.6,7737.88,12.4,1836.8,0.0,0.0,153284.4
246.58,120173.9,7737.88,12.4,1836.6,0.0,0.0,153284.4
246.68,120205.3,7737.88,12.4,1836.5,0.0,0.0,153284.4
246.79,120252.4,7737.88,12.4,1836.4,0.0,0.0,153284.4
246.90,120291.6,7737.88,12.4,1836.2,0.0,0.0,153284.4
247.00,120338.6,7737.88,12.3,1836.0,0.0,0.0,153284.4
247.11,120370.0,7737.88,12.3,1835.9,0.0,0.0,153284.4
247.21,120409.1,7737.88,12.3,1835.8,0.0,0.0,153284.4
247.32,120448.3,7737.88,12.3,1835.6,0.0,0.0,153284.4
247.43,120487.4,7737.88,12.3,1835.4,0.0,0.0,153284.4
247.54,120534.3,7737.88,12.3,1835.3,0.0,0.0,153284.4
247.64,120573.3,7737.88,12.3,1835.2,0.0,0.0,153284.4
247.75,120612.4,7737.88,12.3,1835.0,0.0,0.0,153284.4
247.86,120651.4,7737.88,12.3,1834.8,0.0,0.0,153284.4
247.96,120698.2,7737.88,12.3,1834.7,0.0,0.0,153284.4
248.07,120737.1,7737.88,12.3,1834.5,0.0,0.0,153284.4
248.17,120783.8,7737.88,12.3,1834.4,0.0,0.0,153284.4
248.28,120815.0,7737.88,12.3,1834.3,0.0,0.0,153284.4
248.38,120861.6,7737.88,12.3,1834.1,0.0,0.0,153284.4
248.49,120900.5,7737.88,12.2,1834.0,0.0,0.0,153284.4
248.60,120947.1,7737.88,12.2,1833.8,0.0,0.0,153284.4
248.71,120985.9,7737.88,12.2,1833.6,0.0,0.0,153284.4
248.81,121024.7,7737.88,12.2,1833.5,0.0,0.0,153284.4
248.91,121063.5,7737.88,12.2,1833.3,0.0,0.0,153284.4
249.02,121109.9,7737.88,12.2,1833.1,0.0,0.0,153284.4
249.12,121148.7,7737.88,12.2,1833.0,0.0,0.0,153284.4
249.23,121179.6,7737.88,12.2,1832.9,0.0,0.0,153284.4
249.33,121218.3,7737.88,12.2,1832.8,0.0,0.0,153284.4
249.43,121256.9,7737.88,12.2,1832.6,0.0,0.0,153284.4
249.54,121303.3,7737.88,12.2,1832.4,0.0,0.0,153284.4
249.65,121341.9,7737.88,12.2,1832.3,0.0,0.0,153284.4
249.76,121388.1,7737.88,12.2,1832.1,0.0,0.0,153284.4
249.87,121426.7,7737.88,12.2,1832.0,0.0,0.0,153284.4
249.98,121472.9,7737.88,12.2,1831.8,0.0,0.0,153284.4
250.08,121519.1,7737.88,12.1,1831.7,0.0,0.0,153284.4
250.19,121557.6,7737.88,12.1,1831.5,0.0,0.0,153284.4
250.29,121596.0,7737.88,12.1,1831.4,0.0,0.0,153284.4
250.39,121634.4,7737.88,12.1,1831.2,0.0,0.0,153284.4
250.50,121672.8,7737.88,12.1,1831.1,0.0,0.0,153284.4
250.61,121711.2,7737.88,12.1,1831.0,0.0,0.0,153284.4
250.71,121749.5,7737.88,12.1,1830.8,0.0,0.0,153284.4
250.82,121795.5,7737.88,12.1,1830.6,0.0,0.0,153284.4
250.92,121833.8,7737.88,12.1,1830.5,0.0,0.0,153284.4
251.03,121872.1,7737.88,12.1,1830.4,0.0,0.0,153284.4
251.14,121918.0,7737.88,12.1,1830.2,0.0,0.0,153284.4
251.24,121956.2,7737.88,12.1,1830.0,0.0,0.0,153284.4
251.35,121994.4,7737.88,12.1,1829.9,0.0,0.0,153284.4
251.46,122040.2,7737.88,12.1,1829.7,0.0,0.0,153284.4
251.57,122078.3,7737.88,12.1,1829.6,0.0,0.0,153284.4
251.67,122124.1,7737.88,12.0,1829.4,0.0,0.0,153284.4
251.78,122162.2,7737.88,12.0,1829.3,0.0,0.0,153284.4
251.89,122207.9,7737.88,12.0,1829.1,0.0,0.0,153284.4
251.99,122245.9,7737.88,12.0,1829.0,0.0,0.0,153284.4
252.10,122283.9,7737.88,12.0,1828.8,0.0,0.0,153284.4
252.20,122321.9,7737.88,12.0,1828.7,0.0,0.0,153284.4
252.30,122367.5,7737.88,12.0,1828.5,0.0,0.0,153284.4
252.41,122405.4,7737.88,12.0,1828.4,0.0,0.0,153284.4
252.52,122443.3,7737.88,12.0,1828.2,0.0,0.0,153284.4
252.62,122481.2,7737.88,12.0,1828.1,0.0,0.0,153284.4
252.73,122519.1,7737.88,12.0,1828.0,0.0,0.0,153284.4
252.83,122564.5,7737.88,12.0,1827.8,0.0,0.0,153284.4
252.94,122594.8,7737.88,12.0,1827.7,0.0,0.0,153284.4
253.04,122640.2,7737.88,12.0,1827.5,0.0,0.0,153284.4
253.14,122677.9,7737.88,11.9,1827.4,0.0,0.0,153284.4
253.25,122715.7,7737.88,11.9,1827.2,0.0,0.0,153284.4
253.36,122761.0,7737.88,11.9,1827.0,0.0,0.0,153284.4
253.46,122798.7,7737.88,11.9,1826.9,0.0,0.0,153284.4
253.57,122836.3,7737.88,11.9,1826.8,0.0,0.0,153284.4
253.67,122874.0,7737.88,11.9,1826.6,0.0,0.0,153284.4
253.78,122919.1,7737.88,11.9,1826.5,0.0,0.0,153284.4
253.88,122949.2,7737.88,11.9,1826.4,0.0,0.0,153284.4
253.99,122994.3,7737.88,11.9,1826.2,0.0,0.0,153284.4
254.10,123039.4,7737.88,11.9,1826.0,0.0,0.0,153284.4
254.21,123076.9,7737.88,11.9,1825.9,0.0,0.0,153284.4
254.31,123114.4,7737.88,11.9,1825.8,0.0,0.0,153284.4
254.42,123151.9,7737.88,11.9,1825.6,0.0,0.0,153284.4
254.52,123196.8,7737.88,11.9,1825.4,0.0,0.0,153284.4
254.62,123234.3,7737.88,11.8,1825.3,0.0,0.0,153284.4
254.73,123271.7,7737.88,11.8,1825.2,0.0,0.0,153284.4
254.83,123309.1,7737.88,11.8,1825.0,0.0,0.0,153284.4
254.93,123346.4,7737.88,11.8,1824.9,0.0,0.0,153284.4
255.04,123391.2,7737.88,11.8,1824.7,0.0,0.0,153284.4
255.15,123428.5,7737.88,11.8,1824.6,0.0,0.0,153284.4
255.26,123473.3,7737.88,11.8,1824.4,0.0,0.0,153284.4
255.36,123503.1,7737.88,11.8,1824.3,0.0,0.0,153284.4
255.47,123547.8,7737.88,11.8,1824.1,0.0,0.0,153284.4
255.58,123585.0,7737.88,11.8,1824.0,0.0,0.0,153284.4
255.68,123629.6,7737.88,11.8,1823.8,0.0,0.0,153284.4
255.78,123659.3,7737.88,11.8,1823.7,0.0,0.0,153284.4
255.89,123703.9,7737.88,11.8,1823.6,0.0,0.0,153284.4
255.99,123748.4,7737.88,11.8,1823.4,0.0,0.0,153284.4
256.10,123778.1,7737.88,11.8,1823.3,0.0,0.0,153284.4
256.21,123822.6,7737.88,11.7,1823.1,0.0,0.0,153284.4
256.31,123859.6,7737.88,11.7,1823.0,0.0,0.0,153284.4
256.42,123896.6,7737.88,11.7,1822.8,0.0,0.0,153284.4
256.52,123941.0,7737.88,11.7,1822.7,0.0,0.0,153284.4
256.62,123978.0,7737.88,11.7,1822.6,0.0,0.0,153284.4
256.72,124014.9,7737.88,11.7,1822.4,0.0,0.0,153284.4
256.83,124051.8,7737.88,11.7,1822.3,0.0,0.0,153284.4
256.94,124096.1,7737.88,11.7,1822.1,0.0,0.0,153284.4
257.04,124132.9,7737.88,11.7,1822.0,0.0,0.0,153284.4
257.14,124169.8,7737.88,11.7,1821.9,0.0,0.0,153284.4
257.25,124206.6,7737.88,11.7,1821.7,0.0,0.0,153284.4
257.36,124243.4,7737.88,11.7,1821.6,0.0,0.0,153284.4
257.46,124280.2,7737.88,11.7,1821.4,0.0,0.0,153284.4
257.57,124324.3,7737.88,11.7,1821.3,0.0,0.0,153284.4
257.67,124361.0,7737.88,11.6,1821.1,0.0,0.0,153284.4
257.77,124397.7,7737.88,11.6,1821.0,0.0,0.0,153284.4
257.88,124434.3,7737.88,11.6,1820.9,0.0,0.0,153284.4
257.98,124478.3,7737.88,11.6,1820.7,0.0,0.0,153284.4
258.09,124514.9,7737.88,11.6,1820.6,0.0,0.0,153284.4
258.20,124558.9,7737.88,11.6,1820.4,0.0,0.0,153284.4
258.30,124595.4,7737.88,11.6,1820.3,0.0,0.0,153284.4
258.41,124632.0,7737.88,11.6,1820.1,0.0,0.0,153284.4
258.51,124668.5,7737.88,11.6,1820.0,0.0,0.0,153284.4
258.62,124712.3,7737.88,11.6,1819.9,0.0,0.0,153284.4
258.72,124748.8,7737.88,11.6,1819.7,0.0,0.0,153284.4
258.83,124792.5,7737.88,11.6,1819.6,0.0,0.0,153284.4
258.94,124821.6,7737.88,11.6,1819.4,0.0,0.0,153284.4
259.05,124865.3,7737.88,11.6,1819.3,0.0,0.0,153284.4
259.16,124901.7,7737.88,11.6,1819.2,0.0,0.0,153284.4
259.26,124938.0,7737.88,11.5,1819.0,0.0,0.0,153284.4
259.37,124981.6,7737.88,11.5,1818.8,0.0,0.0,153284.4
259.48,125017.9,7737.88,11.5,1818.7,0.0,0.0,153284.4
259.59,125061.4,7737.88,11.5,1818.6,0.0,0.0,153284.4
259.69,125097.7,7737.88,11.5,1818.4,0.0,0.0,153284.4
259.79,125133.9,7737.88,11.5,1818.3,0.0,0.0,153284.4
259.90,125170.1,7737.88,11.5,1818.1,0.0,0.0,153284.4
260.00,125213.5,7737.88,11.5,1818.0,0.0,0.0,153284.4
260.11,125249.7,7737.88,11.5,1817.8,0.0,0.0,153284.4
260.22,125293.0,7737.88,11.5,1817.7,0.0,0.0,153284.4
260.32,125329.1,7737.88,11.5,1817.6,0.0,0.0,153284.4
260.43,125365.2,7737.88,11.5,1817.4,0.0,0.0,153284.4
260.54,125408.4,7737.88,11.5,1817.3,0.0,0.0,153284.4
260.65,125444.5,7737.88,11.5,1817.1,0.0,0.0,153284.4
260.75,125487.7,7737.88,11.4,1817.0,0.0,0.0,153284.4
260.85,125516.4,7737.88,11.4,1816.9,0.0,0.0,153284.4
260.96,125552.4,7737.88,11.4,1816.7,0.0,0.0,153284.4
261.07,125595.5,7737.88,11.4,1816.6,0.0,0.0,153284.4
261.17,125631.4,7737.88,11.4,1816.5,0.0,0.0,153284.4
261.28,125667.3,7737.88,11.4,1816.3,0.0,0.0,153284.4
261.38,125703.1,7737.88,11.4,1816.2,0.0,0.0,153284.4
261.48,125746.1,7737.88,11.4,1816.0,0.0,0.0,153284.4
261.58,125781.9,7737.88,11.4,1815.9,0.0,0.0,153284.4
261.69,125817.7,7737.88,11.4,1815.7,0.0,0.0,153284.4
261.79,125853.5,7737.88,11.4,1815.6,0.0,0.0,153284.4
261.90,125896.3,7737.88,11.4,1815.5,0.0,0.0,153284.4
262.01,125932.1,7737.88,11.4,1815.3,0.0,0.0,153284.4
262.11,125967.7,7737.88,11.4,1815.2,0.0,0.0,153284.4
